BSSID,rssi1,rssi2,rssi3,rssi4
00:0e:10:10:56:95,-78,0,0,0
00:0e:10:10:56:95,-86,0,0,0
00:0e:10:10:56:95,-88,0,0,0
00:0e:10:10:56:95,-84,0,0,0
00:0e:10:10:56:95,-82,0,0,0
18:cf:24:43:2f:e0,-74,-51,-58,0
18:cf:24:43:2f:e0,-76,-52,-59,0
18:cf:24:43:2f:e0,-79,-53,-60,0
18:cf:24:43:2f:e0,0,-55,-61,0
18:cf:24:43:2f:e0,-80,-57,-62,0
18:cf:24:43:2f:e0,0,-58,-63,0
18:cf:24:43:2f:e0,-82,-59,-64,0
18:cf:24:43:2f:e0,0,-60,-65,0
18:cf:24:43:2f:e0,0,-61,-66,0
18:cf:24:43:2f:e0,0,-62,-67,0
18:cf:24:43:2f:e0,0,-63,-68,0
18:cf:24:43:2f:e0,0,-64,-69,0
18:cf:24:43:2f:e0,0,-65,-70,0
18:cf:24:43:2f:e0,0,-67,-71,0
18:cf:24:43:2f:e0,0,-68,-73,0
18:cf:24:43:2f:e0,0,-70,-75,0
18:cf:24:43:2f:e0,0,-73,78,0
30:fb:b8:a3:06:55,-85,0,0,0
30:fb:b8:a3:06:55,-83,0,0,0
30:fb:b8:a3:06:55,82,0,0,0
30:fb:b8:a3:06:55,80,0,0,0
30:fb:b8:a3:06:55,84,0,0,0
68:86:a7:31:3b:f1,-32,-72,-78,0
68:86:a7:31:3f:51,-69,-39,0,0
68:86:a7:31:3f:5e,-75,-75,0,-80
68:86:a7:31:3f:5e,-62,0,0,0
68:86:a7:56:de:a1,0,0,-53,0
68:86:a7:56:de:a1,-71,-67,-54,0
68:86:a7:56:de:a1,0,0,-55,0
68:86:a7:56:de:a1,0,0,-56,0
68:86:a7:56:de:a1,0,0,-57,0
68:86:a7:56:de:ae,-75,-62,-38,0
68:86:a7:56:fd:2e,-80,0,0,0
68:86:a7:56:fd:2e,-85,0,0,0
68:86:a7:57:1c:81,-76,0,0,0
68:86:a7:57:1c:81,-76,0,0,0
68:86:a7:57:1c:81,-77,0,0,0
68:86:a7:57:1c:81,-78,0,0,0
68:86:a7:57:1c:81,-79,0,0,0
68:86:a7:57:1c:81,-80,0,0,0
68:86:a7:57:1c:81,-82,0,0,0
68:86:a7:57:1c:81,-80,0,0,0
68:86:a7:57:1c:81,-82,0,0,0
68:86:a7:57:1c:81,-82,0,0,0
68:86:a7:57:4a:f1,-62,0,0,0
68:86:a7:57:4a:f1,-70,0,0,0
68:86:a7:57:4a:fe,-63,0,0,0
68:86:a7:57:4a:fe,-65,0,0,0
6a:02:71:dc:4a:69,-58,0,0,0
6a:02:71:dc:4a:6a,-58,0,0,0
98:e7:f5:be:11:d6,-83,0,0,0
98:e7:f5:be:11:d6,-84,0,0,0
98:e7:f5:be:11:d6,-85,0,0,0
9c:93:4e:17:f3:b0,-73,-55,-62,-88
9c:93:4e:17:f3:b0,-74,-56,-64,-87
9c:93:4e:17:f3:b0,-77,-57,-65,0
9c:93:4e:17:f3:b0,-78,-58,-67,0
9c:93:4e:17:f3:b0,-79,-59,-68,0
9c:93:4e:17:f3:b0,-80,-60,-60,0
9c:93:4e:17:f3:b0,-81,-61,-70,0
9c:93:4e:17:f3:b0,-83,-62,-71,0
9c:93:4e:17:f3:b0,-86,-63,-72,0
9c:93:4e:17:f3:b0,-88,-64,-73,0
9c:93:4e:17:f3:b0,-90,-66,-74,0
9c:93:4e:17:f3:b0,-88,-67,-75,0
9c:93:4e:17:f3:b0,-86,-68,-76,0
9c:93:4e:17:f3:b0,-90,-69,-77,0
9c:93:4e:17:f3:b0,-77,-70,-78,0
9c:93:4e:17:f3:b0,-76,-71,-79,0
9c:93:4e:17:f3:b0,-83,-73,-80,0
9c:93:4e:17:f3:b0,-80,-74,-81,0
9c:93:4e:17:f3:b0,-81,-76,-82,0
9c:93:4e:17:f3:b0,-80,-78,-84,0
9c:93:4e:17:f7:af,-80,-56,0,0
9c:93:4e:17:f7:af,-81,-57,0,0
9c:93:4e:17:f7:af,-82,-58,0,0
9c:93:4e:17:f7:af,-83,-73,0,0
9c:93:4e:17:f7:af,-84,-74,0,0
9c:93:4e:17:f7:af,-86,-75,0,0
9c:93:4e:17:f7:af,-88,-76,0,0
9c:93:4e:17:f7:af,-90,-79,0,0
9c:93:4e:20:fd:08,-85,0,0,0
9c:93:4e:20:fd:08,-86,0,0,0
9c:93:4e:20:fd:08,-87,0,0,0
9c:93:4e:20:fd:08,-89,0,0,0
9c:93:4e:20:fd:08,-90,0,0,0
a4:00:e2:95:a6:60,-75,0,0,0
a4:00:e2:95:a6:60,-77,0,0,0
a4:00:e2:95:a6:60,-78,0,0,0
