BSSID,rssi1,rssi2,rssi3,rssi4
f8:35:dd:22:c4:e0,-65,0,0,0
cc:d5:39:89:bd:91,-73,0,0,0
a4:00:e2:96:07:80,-83,0,0,0
20:10:7a:8e:ac:78,-87,0,0,0
a4:00:e2:95:de:60,-46,-73,-84,-75
f8:35:dd:22:c4:e0,-65,0,0,0
f8:35:dd:22:c4:e0,-73,0,0,0
20:10:7a:8e:ac:78,-87,0,0,0
68:86:a7:31:3f:5,-63,0,0,0
a4:00:e2:96:0e:a0,-63,0,0,0
00:0e:10:10:56:95,-85,-89,-86,-89
20:10:7a:8e:ac:78,-87,0,0,0
1c:15:1f:50:ef:b0,-89,0,0,0
68:86:a7:31:3b:f1,-39,-70,-77,-71
a4:00:e2:96:0d:20,-70,-56,-54,-50
00:0e:10:10:56:95,-76,-89,0,-88
9c:93:4e:17:f3:b0,-86,-60,-73,-80
20:10:7a:8e:ac:78,-87,0,0,0
1c:15:1f:50:ef:b0,-90,0,0,0
68:86:a7:31:3b:f1,-41,-77,0,-78
d0:c6:5b:75:39:20,-62,0,0,0
00:0e:10:10:56:95,-76,-89,0,-88
9c:93:4e:17:f3:b0,-77,-74,-78,-78
8e:ba:bf:32:27:00,-79,-86,-85,-84
20:10:7a:8e:ac:78,-87,0,0,0
1c:15:1f:50:ef:b0,-90,0,0,0
f8:35:dd:22:c4:e0,-66,0,0,0
a4:00:e2:96:07:80,-72,0,0,0
20:10:7a:8e:ac:78,-74,0,0,0
68:86:a7:56:de:a1,-75,-70,-55,-42
2a:56:5a:a6:6c:cf,-78,-80,-74,0
8e:ba:bf:32:27:00,-79,-87,-85,-88
20:10:7a:8e:ac:9a,-80,-81,0,0
9c:93:4e:17:f3:b0,-81,-56,-76,-78
1c:15:1f:50:ef:b0,-90,0,0,0
f8:35:dd:22:c4:6e,-70,-64,-68,-74
a4:00:e2:95:a6:60,-74,0,0,0
68:86:a7:56:de:a1,-75,0,-53,-44
2a:56:5a:a6:6c:cf,-78,-80,-80,0
8e:ba:bf:32:27:00,-79,-88,-85,-88
20:10:7a:8e:ac:9a,-80,-81,0,0
9c:93:4e:17:f3:b0,-81,-63,-76,-78
20:10:7a:8e:ac:78,-83,0,0,0
1c:15:1f:50:ef:b0,-90,0,0,0
a4:00:e2:95:de:60,-39,0,-64,0
68:86:a7:57:4a:f1,-65,0,0,0
f8:35:dd:22:c4:6e,-70,-57,-67,-74
2a:56:5a:a6:6c:cf,-78,-80,-80,0
8e:ba:bf:32:27:00,-79,-86,-85,-88
20:10:7a:8e:ac:9a,-80,-81,0,0
9c:93:4e:17:f3:b0,-81,-56,-76,-78
20:10:7a:8e:ac:78,-83,0,0,0
1c:15:1f:50:ef:b0,-90,0,0,0
cc:d5:39:89:52:c1,-74,0,0,0
2a:56:5a:a6:6c:cf,-78,-80,-80,0
8e:ba:bf:32:27:00,-79,-87,-85,-88
20:10:7a:8e:ac:9a,-80,-81,0,0
00:0e:10:10:56:95,-82,0,0,-90
20:10:7a:8e:ac:78,-83,0,0,0
9c:93:4e:17:f3:b0,-83,-51,-74,-78
18:cf:24:43:2f:e0,-86,-58,0,0
1c:15:1f:50:ef:b0,-88,0,0,0
68:86:a7:31:3b:f1,-42,-71,0,0
f4:79:60:32:dc:a0,-72,0,0,0
2a:56:5a:a6:6c:cf,-78,-80,-80,0
8e:ba:bf:32:27:00,-79,0,-87,-84
20:10:7a:8e:ac:9a,-80,-79,0,0
9c:93:4e:17:f7:af,-81,-81,0,0
00:0e:10:10:56:95,-82,0,0,-90
20:10:7a:8e:ac:78,-83,0,0,0
1c:15:1f:50:ef:b0,-88,0,0,0
68:86:a7:31:3b:f1,-43,0,0,0
68:86:a7:31:3f:51,0,-40,-49,-62
68:86:a7:31:3f:5,0,-38,0,0
a4:00:e2:95:f5:e0,0,-70,0,0
82:b9:77:0e:79:43,0,-89,0,0
a4:00:e2:96:0d:20,0,-51,-44,-57
82:b9:77:0e:79:43,0,-87,0,0
f8:35:dd:22:c4:6e,0,-54,-67,-66
cc:d5:39:89:62:41,0,-73,0,0
20:10:7a:8e:ac:9a,0,-82,0,0
f8:35:dd:22:c4:6e,0,-54,-67,-66
f4:79:60:32:d1:60,0,-76,0,0
cc:d5:39:89:6a:71,0,-78,-69,-75
20:10:7a:8e:ac:9a,0,-82,0,0
68:86:a7:31:3f:51,0,-38,0,-59
f8:35:dd:22:c4:6e,0,-54,-67,-72
f4:79:60:32:d3:80,0,-77,-63,-72
20:10:7a:8e:ac:9a,0,-82,0,0
